epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.9282308365821839,0.6616,0.4116138369345025,0.8758389261744967
2,0.31915867609381676,0.9032,0.3609129267950986,0.8825503355704698
3,0.18670030115246772,0.9552,0.4807733224842372,0.8825503355704698
4,0.13341818869113922,0.968,0.16772263194590606,0.912751677852349
5,0.09917966477274895,0.972,0.5265552893330987,0.8758389261744967
6,0.08047935791611671,0.98,0.16093905340105094,0.912751677852349
7,0.06860291160345078,0.984,0.15445684792236394,0.9295302013422819
8,0.0578536559343338,0.9864,0.6855392412801317,0.8758389261744967
9,0.05938307891190052,0.9888,0.5071686972870223,0.8657718120805369
10,0.0512549730092287,0.988,0.43284403084896056,0.8657718120805369
11,0.0381593800842762,0.9896,0.6858578531302811,0.8791946308724832
12,0.04738745813369751,0.9896,0.19027203990884076,0.9261744966442953
13,0.05660659997351468,0.9864,0.7569380306620026,0.87248322147651
14,0.03853210725784302,0.9904,0.8013102944640306,0.8624161073825504
15,0.04445920581892133,0.9864,0.6834797096663724,0.8825503355704698
16,0.047111886596120894,0.9888,0.7427128366750959,0.8758389261744967
17,0.023724782390892506,0.9944,0.6770074069343708,0.8758389261744967
