epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.48071,1.04823,2.64746,1.38285,0.77171,0.83333,0.8885,0.6543,1.44253,1.39865,1.28025,0,0,0
2,3.10741,1.06063,3.01567,1.39769,0.77171,0.83333,0.8885,0.6543,1.44253,1.39865,1.28025,3.18127e-05,3.18127e-05,3.18127e-05
3,4.57305,0.79576,3.00814,1.29405,0.77171,0.83333,0.8885,0.6543,1.44253,1.39865,1.28025,4.79173e-05,4.79173e-05,4.79173e-05
4,6.05491,1.42388,2.8364,1.93196,0.79659,0.75,0.87467,0.6354,1.4588,1.45482,1.28873,4.8314e-05,4.8314e-05,4.8314e-05
5,7.55732,1.14278,3.21208,1.63506,0.79659,0.75,0.87467,0.6354,1.4588,1.45482,1.28873,2.4752e-05,2.4752e-05,2.4752e-05
