epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.8098346504005226,0.7391891891891892,0.35708469523197156,0.8373205741626795
2,0.36866508432336753,0.8635135135135135,0.14970381596263801,0.9904306220095693
3,0.15899461886367283,0.972972972972973,0.03873679675963935,0.9952153110047847
4,0.06490181857669676,0.9891891891891892,0.03658945212791268,0.9904306220095693
5,0.04374266010079835,0.9932432432432432,0.026999279589316492,0.9952153110047847
6,0.03999039500549033,0.9932432432432432,0.021950516845300153,0.9952153110047847
7,0.04474653717432473,0.9932432432432432,0.013823770860022906,0.9952153110047847
8,0.019691229178696066,0.9972972972972973,0.0064707307187332344,1.0
9,0.019851347210036743,0.9972972972972973,0.003525052505932998,1.0
10,0.011741945793147425,0.9986486486486487,0.014894419256152149,0.9952153110047847
11,0.0071169710655168104,1.0,0.010382825004618668,0.9952153110047847
12,0.014277370850480087,0.9972972972972973,0.013132036269785008,0.9952153110047847
13,0.005858748447703751,0.9986486486486487,0.017915508802868782,0.9952153110047847
14,0.00406604519592145,1.0,0.02057477721886522,0.9952153110047847
15,0.003415250749881002,1.0,0.020656166983930992,0.9952153110047847
16,0.012278280575835222,0.995945945945946,0.023246953560765744,0.9952153110047847
17,0.003045696538646479,1.0,0.025303473676060232,0.9952153110047847
18,0.006435226098432936,0.9986486486486487,0.022291222631510205,0.9952153110047847
19,0.01246214615483139,0.9986486486486487,0.02218069092584462,0.9952153110047847
