epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.0330228448560244,0.6142728093947606,0.5156735627343191,0.87248322147651
2,0.4123756704614738,0.8455284552845529,0.28794648885826934,0.8557046979865772
3,0.20641943551229805,0.9322493224932249,0.32531830215914137,0.87248322147651
4,0.12648775802072149,0.969286359530262,0.24210548049601532,0.9328859060402684
5,0.07103032498286453,0.987353206865402,0.24557908470336123,0.9463087248322147
6,0.04691738584907532,0.990063233965673,0.3050631813004913,0.9060402684563759
7,0.040817000486323474,0.987353206865402,0.3532924095181211,0.889261744966443
8,0.050279984259919044,0.985546522131888,0.6071329447722075,0.8523489932885906
9,0.024482675312741474,0.99096657633243,0.25148346841541563,0.9429530201342282
10,0.031416105407659496,0.99096657633243,0.452307901776477,0.8993288590604027
11,0.044991864007161535,0.989159891598916,0.6928901250299141,0.8523489932885906
12,0.045824808587657515,0.987353206865402,0.51783284801371,0.8422818791946308
13,0.027978420913364156,0.992773261065944,0.23778769469682454,0.9295302013422819
14,0.01596173822990002,0.995483288166215,0.551763853821169,0.8791946308724832
15,0.022872465936923037,0.995483288166215,0.6615599117862161,0.8825503355704698
16,0.0317401772374649,0.989159891598916,0.8165774908238684,0.8557046979865772
17,0.02588542130571313,0.991869918699187,0.3691402087335775,0.8791946308724832
18,0.016214004651304292,0.996386630532972,0.7095140484032759,0.8557046979865772
19,0.0016672157772603027,1.0,0.4977581203651877,0.8657718120805369
20,0.0010803430120342066,1.0,0.5332094218598322,0.8691275167785235
21,0.0008594082200343619,1.0,0.5640118805993967,0.8624161073825504
22,0.0007114206762702979,1.0,0.5670056637146451,0.8590604026845637
23,0.0007092901036766288,1.0,0.5411123029792747,0.8859060402684564
