epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.8078918163840835,0.7486486486486487,0.3582097172166742,0.84688995215311
2,0.37275629430203827,0.8743243243243243,0.15230693346397442,0.9952153110047847
3,0.16045044878044645,0.9783783783783784,0.039622245534684096,1.0
4,0.0831037159102994,0.9851351351351352,0.03207514128919566,0.9952153110047847
5,0.04471291980731326,0.9918918918918919,0.02991756030389567,0.9952153110047847
6,0.02745873398474745,0.9986486486486487,0.0447199369165779,0.9904306220095693
7,0.04214472558248687,0.9918918918918919,0.03290089303583049,0.9904306220095693
8,0.014933716699581694,0.9986486486486487,0.027802157419640126,0.9952153110047847
9,0.02521579362250663,0.995945945945946,0.023936495090206487,0.9952153110047847
10,0.010910776380852267,1.0,0.028587246964280114,0.9952153110047847
11,0.006560469319968409,1.0,0.044510825948776346,0.9856459330143541
12,0.005111734916430873,1.0,0.029105302787488373,0.9952153110047847
13,0.0101440121168019,0.9986486486486487,0.030208382939888638,0.9952153110047847
14,0.0032776872702949757,1.0,0.03992908696185031,0.9904306220095693
15,0.0069883724743802405,0.9986486486486487,0.05159735244545088,0.9904306220095693
16,0.009220678242225501,0.9986486486486487,0.04526057829423117,0.9904306220095693
17,0.002562010121481443,1.0,0.029637669619455773,0.9952153110047847
18,0.0022694373449839247,1.0,0.030948182226506252,0.9952153110047847
19,0.0019093885187160325,1.0,0.031898087215872756,0.9952153110047847
