epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.8782763257799412,0.6972332015810276,0.38801291234941293,0.87248322147651
2,0.3806057493206069,0.8790513833992095,0.32650545990757096,0.8825503355704698
3,0.2098707677700774,0.9430830039525692,0.4022874513628499,0.8825503355704698
4,0.14644804181081975,0.9620553359683794,0.44501755010936683,0.8825503355704698
5,0.11986976347775327,0.9715415019762846,0.10043127712287359,0.9664429530201343
6,0.11768615837889933,0.9652173913043478,0.14881445728742437,0.9093959731543624
7,0.09060894570096208,0.9770750988142293,0.5381994573836959,0.8791946308724832
8,0.05943872010622454,0.9865612648221344,0.4959025903661179,0.8758389261744967
9,0.06842029107653576,0.9802371541501976,0.3655812356546021,0.8590604026845637
10,0.04201579718692265,0.991304347826087,0.6259520364668996,0.8758389261744967
11,0.035296816290116946,0.991304347826087,0.6999795774635452,0.8758389261744967
12,0.04424230052220816,0.9905138339920949,0.8074918079046195,0.8456375838926175
13,0.026191366468316952,0.9952569169960475,0.7860784975346178,0.8557046979865772
14,0.033890698393696385,0.9928853754940712,0.8170111178617374,0.8456375838926175
15,0.026007293312710972,0.9944664031620554,0.8686906755886247,0.8557046979865772
