epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3551.33,0.54176,0.42643,1.01559,0.99569,0.99733,0.995,0.92252,0.31402,0.20449,0.72434,0.0005941,0.0005941,0.0005941
43,3639.89,0.54641,0.42286,1.01815,0.99313,1,0.995,0.92063,0.31886,0.20955,0.73446,0.0005842,0.0005842,0.0005842
44,3729.96,0.54475,0.41446,1.00923,0.99761,0.99671,0.995,0.92201,0.32165,0.20699,0.72539,0.0005743,0.0005743,0.0005743
45,3815.03,0.54547,0.4104,1.00911,0.99693,0.99839,0.995,0.92648,0.32134,0.19564,0.72737,0.0005644,0.0005644,0.0005644
46,3904.02,0.54198,0.41099,1.01269,0.99321,0.99769,0.99498,0.9278,0.29891,0.26757,0.71764,0.0005545,0.0005545,0.0005545
47,3994.37,0.53389,0.40743,1.01131,0.99588,0.99983,0.995,0.92493,0.30634,0.31712,0.71964,0.0005446,0.0005446,0.0005446
48,4080.84,0.53917,0.4089,1.01371,0.9935,0.99973,0.99495,0.93291,0.29638,0.19077,0.71686,0.0005347,0.0005347,0.0005347
49,4170.55,0.52873,0.40888,1.00407,0.99682,0.9927,0.99498,0.92882,0.31319,0.22593,0.72251,0.0005248,0.0005248,0.0005248
50,4260.1,0.53433,0.39831,1.00493,0.99085,0.99718,0.995,0.92891,0.3013,0.25173,0.71925,0.0005149,0.0005149,0.0005149
51,4336.09,0.52798,0.39802,1.00557,0.99582,0.99502,0.995,0.93413,0.29825,0.22467,0.71542,0.000505,0.000505,0.000505
52,4411.34,0.52596,0.38952,1.00178,0.99628,0.99733,0.995,0.9278,0.30888,0.40288,0.72228,0.0004951,0.0004951,0.0004951
53,4500.57,0.51261,0.37562,0.99606,0.9946,0.99733,0.995,0.93118,0.30299,0.22035,0.72024,0.0004852,0.0004852,0.0004852
54,4591.07,0.51286,0.38905,0.9975,0.99571,0.99726,0.995,0.93077,0.29709,0.20459,0.71754,0.0004753,0.0004753,0.0004753
55,4682.05,0.51853,0.38102,0.99774,0.99225,0.99668,0.995,0.92891,0.29839,0.55002,0.71678,0.0004654,0.0004654,0.0004654
56,4770.8,0.51672,0.38225,0.99914,0.99487,0.99733,0.995,0.93114,0.29523,0.19734,0.71518,0.0004555,0.0004555,0.0004555
57,4860.47,0.5119,0.3728,0.99018,0.99607,0.9981,0.995,0.93059,0.29317,0.23597,0.71045,0.0004456,0.0004456,0.0004456
58,4943.35,0.5062,0.37382,0.99081,0.99655,1,0.995,0.92973,0.29864,0.17877,0.71748,0.0004357,0.0004357,0.0004357
