epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.8912141078227275,0.7040540540540541,0.40679650101365084,0.8325358851674641
2,0.4002617046639726,0.831081081081081,0.15288202056402794,0.9904306220095693
3,0.1796702756470925,0.9689189189189189,0.04182157762856646,0.9952153110047847
4,0.06788649747299182,0.9891891891891892,0.029744123139877638,0.9952153110047847
5,0.058408728287228054,0.9878378378378379,0.02915701654886729,0.9952153110047847
6,0.036434132434629105,0.9932432432432432,0.0302904661495292,0.9952153110047847
7,0.021072277411617137,0.9945945945945946,0.09390680655796954,0.9665071770334929
8,0.02178151052747224,0.995945945945946,0.04434576389517938,0.9904306220095693
9,0.008560993633157498,1.0,0.0988049708489489,0.9760765550239234
10,0.019226563642606945,0.9972972972972973,0.03232564182470789,0.9952153110047847
11,0.0035366711659810027,1.0,0.03264133759905722,0.9952153110047847
12,0.002422619128373225,1.0,0.033572290336677545,0.9952153110047847
13,0.0070430706494261286,0.9972972972972973,0.034842292775408894,0.9952153110047847
14,0.003932465121426897,0.9986486486486487,0.034567315557539356,0.9952153110047847
15,0.001655541330487845,1.0,0.03524367711768579,0.9952153110047847
