epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.8641729836463928,0.7032,0.4210980325037201,0.87248322147651
2,0.3309436180114746,0.8968,0.2940050555555612,0.8758389261744967
3,0.19216787676215172,0.9568,0.3789554168063922,0.8791946308724832
4,0.12478309148848057,0.9704,0.47045648938682455,0.8758389261744967
5,0.11482207012176514,0.9696,0.4548931587174935,0.8791946308724832
6,0.09526255583167076,0.9768,0.4777772784133085,0.8825503355704698
7,0.08779842126369476,0.9784,0.4606163092551365,0.8825503355704698
8,0.058452499823272226,0.988,0.5452861124712148,0.8758389261744967
9,0.04859660305082798,0.9872,0.1508243312034131,0.9429530201342282
10,0.05351402343511581,0.9856,0.5196824693527298,0.87248322147651
11,0.02578455539047718,0.9928,0.6402126979551609,0.8657718120805369
12,0.03489856721535325,0.9944,0.662196941362794,0.8791946308724832
13,0.031766419089585544,0.9952,0.5018361872491808,0.8758389261744967
14,0.023494992430135607,0.9928,0.5480370156313824,0.8758389261744967
15,0.031634326767921446,0.9912,0.4533342957088799,0.8758389261744967
16,0.02544159895554185,0.9936,0.43856059188013835,0.8859060402684564
17,0.02153979087173939,0.992,0.5765541914679366,0.8758389261744967
18,0.010691992274485529,0.9976,0.7117017150990159,0.8557046979865772
19,0.021088736541196702,0.996,0.2650400927616908,0.9026845637583892
