epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.9412087995529175,0.6528,0.4199911278966289,0.8523489932885906
2,0.35064662602543833,0.8832,0.16603949100979223,0.9228187919463087
3,0.20240923009216785,0.948,0.23022349208793383,0.8926174496644296
4,0.13647189862728118,0.9696,0.4002320727695955,0.8825503355704698
5,0.09764573659896851,0.9808,0.31779564922087944,0.8624161073825504
6,0.09497450144439935,0.9776,0.5387359050121283,0.8624161073825504
7,0.09561777521371842,0.972,0.14819443181482136,0.9161073825503355
8,0.06346610370650888,0.9856,0.37120252773915763,0.8859060402684564
9,0.050043283827230334,0.9888,0.42518411476115053,0.8758389261744967
10,0.04262674742043018,0.9896,0.22479209415739615,0.9161073825503355
11,0.04800997064895928,0.9888,0.43271554165188497,0.87248322147651
12,0.039905197614431384,0.992,0.318068707152426,0.87248322147651
13,0.06151255322638899,0.9848,0.4207680140084418,0.8825503355704698
14,0.035775144642591475,0.9888,0.3012928912141079,0.8825503355704698
15,0.03791123010069132,0.9912,0.3398012151838524,0.8825503355704698
16,0.02786164163351059,0.992,0.067946808937712,0.9664429530201343
17,0.04692879348136485,0.9888,0.12769614676976163,0.9463087248322147
18,0.02914640252646059,0.992,0.1324432453885987,0.9563758389261745
19,0.02030636270903051,0.9968,0.21435327570566645,0.9228187919463087
20,0.017414648684114218,0.996,0.558399764649045,0.8758389261744967
21,0.013973727244138718,0.9976,0.6527283408631408,0.8691275167785235
22,0.02036538503896445,0.9936,0.33693730505573993,0.9026845637583892
23,0.013637596141919494,0.996,0.1585652907656337,0.9429530201342282
24,0.01522571325302124,0.996,0.0938910642574735,0.959731543624161
25,0.011925944302231073,0.9976,0.3477005581342187,0.889261744966443
26,0.014131468477379531,0.9944,0.11573885391183485,0.959731543624161
